Step,Element,Entropy,Max Depth, Assembly, Omega, Order
183,[[A]]=A,1.4064008819629854,3,33,287,36
184,=[[]],1.4655953001626643,3,35,307,38
185,=[[]],1.508290136706928,3,37,329,40
186,[[A]]=A,1.4571866847755597,3,36,318,39
187,[A][A]=[A],1.4633607363876622,3,35,311,38
188,[A]=[A][A],1.4633607363876622,3,35,311,38
189,[[A]]=A,1.4731896952662678,3,34,302,37
190,[A][A]=[A],1.4797829253993395,3,33,295,36
191,=[[]],1.5199799092307065,3,34,316,38
192,=[[]],1.5041625260016593,3,36,332,40
193,[A][A]=[A],1.5199799092307065,3,34,316,38
194,[A]=[A][A],1.5199799092307065,3,34,316,38
195,[[A]]=A,1.531339116023989,3,33,307,37
196,[A]=[A][A],1.531339116023989,3,33,307,37
197,=[[]],1.5146676028119503,3,35,323,39
198,=[[]],1.4990766129916473,3,37,339,41
199,[A][A]=[A],1.5041625260016593,3,36,332,40
200,[A]=[A][A],1.5041625260016593,3,36,332,40
201,[A][A]=[A],1.4633607363876622,3,34,310,38
202,[A][A]=[A],1.4226581667171692,3,31,273,34
203,[A][A]=[A],1.3533593350214213,3,28,236,30
204,[A]=[A][A],1.3533593350214213,3,28,236,30
205,[[A]]=A,1.1873868015167894,2,26,207,27
206,=[[]],1.1783577099564693,2,28,223,29
207,[A]=[A][A],1.1702295713931186,2,30,239,31
208,=[[]],1.1628720819225884,2,32,255,33
209,=[[]],1.1561787304889202,2,34,271,35
210,=[[]],1.1500617154483042,2,36,287,37
211,[[A]]=A,1.1501854804581977,2,35,278,36
