Step,Entropy,Max Depth, Assembly, Omega, Order
223,1.8702538164316223,4,13,114,14
224,1.9508257945180885,4,11,98,12
225,2.120952031026403,4,13,125,14
226,2.120952031026403,4,13,125,14
227,2.0550365325772657,4,15,141,16
228,1.994299475957303,4,17,157,18
229,1.994299475957303,4,17,157,18
230,1.994299475957303,4,17,157,18
231,2.0132790219068077,4,16,148,17
232,2.0550365325772657,4,15,141,16
233,1.9508257945180885,4,11,98,12
234,2.0464393446710156,4,9,82,10
235,2.1556390622295662,4,7,66,8
236,1.8423709931771084,3,6,51,7
237,1.8423709931771084,3,6,51,7
238,1.7527152789797045,3,8,67,9
239,1.4056390622295665,2,7,56,8
240,1.4591479170272446,2,5,40,6
241,1.4056390622295665,2,7,56,8
242,1.360964047443681,2,9,72,10
243,1.3516441151533924,2,8,63,9
244,1.4056390622295665,2,7,56,8
245,1.3787834934861753,2,6,47,7
246,1.3516441151533924,2,8,63,9
247,1.2987949406953985,2,7,54,8
248,1.295461844238322,2,9,70,10
249,1.280672129520887,2,11,86,12
250,1.280672129520887,2,11,86,12
251,1.5744174271404583,3,13,106,14
252,1.6143308351592656,3,12,99,13
253,1.3250112108241772,2,11,88,12
254,1.2958363892911637,2,13,104,14
255,1.2958363892911637,2,13,104,14
256,1.8024212838293647,4,15,130,16
257,1.8702538164316223,4,13,114,14
258,1.8024212838293647,4,15,130,16
259,1.8024212838293647,4,15,130,16
260,1.822815600352516,4,14,121,15
261,1.5744174271404583,3,13,106,14
262,1.5306390622295665,3,15,122,16
263,1.4969275461145894,3,16,129,17
264,1.5306390622295665,3,15,122,16
265,1.5306390622295665,3,15,122,16
266,1.5306390622295665,3,15,122,16
267,1.272905595320056,2,14,111,15
268,1.253297578463043,2,16,127,17
269,1.2363864108712894,2,18,143,19
270,1.2326602568158207,2,17,134,18
271,1.4609640474436811,3,19,154,20
272,1.4832261969709113,3,18,147,19
273,1.2516291673878228,2,17,136,18
274,1.4689955935892813,3,19,157,20
275,1.4689955935892813,3,19,157,20
276,1.4394969869215133,3,21,173,22
277,1.2285763800288914,2,20,162,21
278,1.21454040779525,2,22,178,23
279,1.2197484934607568,2,21,168,22
280,1.221694907636328,2,20,159,21
281,1.2192407046368487,2,19,150,20
282,1.2108100261060328,2,18,141,19
283,1.4373770511116046,3,19,161,21
284,1.4366664819166872,3,18,152,20
285,1.4652556501132248,3,17,145,19
286,1.4627552262645036,3,16,136,18
287,1.4366664819166872,3,18,152,20
288,1.4130884364257577,3,20,168,22
289,1.4079824483474697,3,19,159,21
290,1.3885308110207437,3,21,175,23
291,1.4984545358221242,3,22,196,25
292,1.4984545358221242,3,22,196,25
293,1.379558855444687,3,20,166,22
294,1.497224320061398,3,22,186,24
295,1.3885308110207437,3,21,175,23
296,1.379558855444687,3,20,166,22
297,1.3640054628542204,3,22,182,24
298,1.3640054628542204,3,22,182,24
299,1.115520093581932,2,20,153,21
300,1.1211774609034908,2,22,169,23
301,1.1211774609034908,2,22,169,23
302,1.090652803252992,2,21,160,22
303,1.115520093581932,2,20,153,21
304,1.1411535278793057,2,19,146,20
305,1.1674367232867007,2,18,139,19
306,1.1674367232867007,2,18,139,19
307,1.1941737342569119,2,17,132,18
308,1.1941737342569119,2,17,132,18
309,1.1660870601063933,2,16,123,17
310,1.1941737342569119,2,16,133,18
311,1.2210477851797181,2,15,126,17
312,1.2108100261060328,2,17,142,19
313,1.1941737342569119,2,16,133,18
314,1.1660870601063933,2,15,124,17
315,1.198192411043098,2,14,117,16
316,1.158938532350277,2,13,108,15
